userid,movieid,tagid
18,409,437
18,409,4
18,441,41
18,621,4
18,643,4
18,734,-1
19,192,4
19,214,4
19,277,48
19,318,48
19,318,267
19,633,12
19,762,41
20,68,0
20,253,4
20,253,40
20,276,4
20,276,40
20,364,19
20,652,40
20,727,4
20,727,40
20,843,4
21,35,-1
21,113,108
21,189,-1
21,194,-1
21,241,-1
21,258,-1
21,417,-1
21,451,-1
21,659,-1
21,688,-1
21,763,62
21,763,108
21,798,243
22,163,4
22,163,424
22,249,4
22,409,4
22,409,40
22,511,4
22,531,13
22,571,40
22,812,40
23,3,4
23,138,4
23,266,48
23,266,14
23,266,35
23,365,48
23,411,48
23,411,4
23,411,35
23,533,-1
24,138,4
24,168,-1
24,229,4
24,430,11
24,557,4
24,557,40
24,630,-1
24,655,-1
24,726,0
24,868,11
25,207,-1
25,444,4
26,260,0
26,260,35
26,652,1185
26,783,-1
27,74,-1
27,95,-1
27,220,35
27,517,4
27,533,-1
27,573,70
27,670,4
27,670,35
27,670,70
27,761,-1
27,763,103
27,813,75
27,813,4
27,813,14
27,813,28
27,813,35
28,35,-1
28,259,107
28,259,0
28,345,12
28,758,24
28,758,171
28,800,4
28,800,14
28,824,4
28,934,12
28,934,4
28,934,0
29,62,4
29,62,0
29,109,48
29,428,-1
29,458,4
29,530,4
29,530,0
29,530,35
29,799,48
29,799,0
30,169,-1
30,209,4
30,209,35
30,406,4
30,406,0
30,547,4
30,547,0
30,550,4
30,550,35
30,567,75
30,855,40
30,859,4
30,859,35
31,13,4
31,325,-1
31,457,41
31,628,4
31,960,4
31,960,13
32,165,107
32,165,0
32,416,4
32,416,56
32,517,4
32,643,4
32,643,35
32,886,56
32,977,107
33,557,40
33,589,12
33,589,40
34,28,4
34,115,4
34,115,35
34,844,-1
34,883,-1
35,11,12
35,11,4
35,31,12
35,268,45
35,272,12
35,272,24
35,519,4
35,519,13
35,532,-1
35,583,4
35,594,-1
35,669,4
35,710,12
35,744,4
35,744,13
35,744,45
36,177,113
36,177,20
36,185,12
36,185,107
36,272,12
36,272,4
36,272,35
36,799,4
36,799,35
36,806,4
36,806,35
36,843,4
36,843,45
37,212,-1
37,365,269
37,367,4
37,515,113
37,515,4
37,515,14
37,542,4
37,742,4
37,742,14
37,742,0
37,879,40
37,891,0
38,104,12
38,104,4
38,161,113
38,271,-1
38,411,4
38,445,4
38,567,41
38,714,4
38,726,-1
38,848,12
39,81,22
39,218,12
39,473,48
39,605,0
39,660,12
39,795,554
40,67,-1
40,85,48
40,85,4
40,401,0
40,637,4
40,637,0
40,680,48
40,680,4
40,775,48
40,882,-1
41,60,12
41,60,108
41,60,106
41,159,12
41,234,106
41,300,-1
41,430,165
41,536,-1
41,589,12
41,616,12
41,849,-1
42,133,4
42,133,14
42,180,-1
42,226,35
42,226,4
42,226,14
42,226,13
42,286,48
42,405,4
42,405,72
42,405,35
42,481,4
42,481,35
42,608,4
43,206,4
43,206,0
43,273,4
43,273,35
43,273,45
43,293,126
43,293,45
43,324,-1
43,556,4
43,556,35
43,556,45
43,628,4
43,628,35
43,838,45
44,7,-1
44,126,171
44,364,-1
44,449,171
44,592,108
45,33,-1
45,60,12
45,63,-1
45,247,4
45,362,4
45,506,-1
46,492,-1
46,681,4
46,796,4
46,915,4
46,915,0
47,227,4
47,227,192
47,307,12
47,608,4
47,661,-1
47,675,48
47,675,4
47,675,13
47,738,4
47,738,35
47,738,13
47,743,4
47,743,35
47,828,4
48,29,7
48,50,-1
48,264,-1
48,384,-1
48,843,56
48,868,11
48,898,7
49,35,-1
49,141,12
49,141,11
49,322,12
49,360,4
49,360,70
49,428,41
49,428,12
49,480,4
49,480,56
49,563,12
50,14,-1
50,41,38
50,41,40
50,55,-1
50,289,126
50,424,-1
50,440,-1
50,463,-1
50,520,-1
50,819,1184
50,898,-1
51,38,-1
51,245,-1
51,328,-1
51,343,113
51,382,14
51,431,48
51,431,12
51,437,-1
51,647,43
51,997,12
52,203,-1
52,514,12
52,588,4
52,588,2
52,588,35
52,766,-1
52,896,4
53,78,11
53,139,-1
53,189,4
53,426,4
53,507,-1
53,794,4
53,986,4
54,93,4
54,93,35
54,179,4
54,179,35
54,217,107
54,286,-1
54,292,-1
54,323,4
54,323,35
54,359,107
54,479,107
54,659,4
54,739,-1
54,756,4
54,756,35
54,892,4
55,29,4
55,349,4
55,420,4
55,420,0
55,453,12
55,453,0
55,815,-1
56,30,107
56,30,108
56,168,-1
56,200,4
56,200,35
56,461,4
56,461,35
56,463,4
56,463,35
56,487,0
56,724,-1
56,726,967
56,726,107
57,65,65
57,145,67
57,151,4
57,248,41
57,360,4
57,379,-1
57,420,4
57,675,4
57,789,65
57,789,40
57,922,4
58,5,12
58,5,4
58,101,48
58,327,12
58,327,4
58,328,4
58,340,48
58,340,4
58,348,48
58,348,101
58,500,12
58,523,101
58,523,4
58,594,-1
58,732,48
58,732,12
59,282,35
59,282,0
59,282,13
59,557,35
60,49,4
60,572,48
60,583,48
60,583,4
60,583,35
60,948,4
60,948,35
61,9,4
61,130,4
61,130,171
61,150,4
61,150,0
61,762,-1
61,844,-1
62,99,4
62,99,35
62,235,12
62,235,107
62,235,67
62,385,107
62,657,12
62,657,107
62,750,12
62,820,12
62,820,4
62,820,35
63,30,107
63,157,-1
63,190,107
63,190,108
63,413,31
63,508,4
63,592,107
63,592,108
63,617,4
63,659,4
63,660,-1
63,866,4
64,116,41
64,249,48
64,249,12
64,343,-1
64,472,48
64,472,12
64,480,-1
64,546,12
64,546,244
64,547,0
64,563,12
65,7,-1
65,175,-1
65,258,4
65,508,4
65,609,19
65,632,4
65,898,4
66,171,12
66,171,4
66,228,12
66,228,35
66,304,-1
66,329,12
66,407,4
66,435,4
66,435,35
66,509,12
66,675,4
66,722,4
66,722,35
67,22,4
67,97,-1
67,211,4
67,316,-1
67,580,4
67,807,4
68,22,4
68,22,35
68,27,4
68,27,95
68,27,75
68,73,12
68,258,4
68,258,35
68,267,-1
68,449,12
68,475,12
68,475,108
68,690,-1
68,808,107
68,909,107
68,935,4
68,935,0
68,935,35
69,130,4
69,130,35
69,174,41
69,174,42
69,305,4
69,305,35
69,445,48
69,445,4
69,541,41
69,541,42
69,541,40
69,559,4
69,559,40
69,701,41
70,111,-1
70,170,41
70,170,55
70,253,4
70,253,40
70,401,41
70,401,40
70,503,4
70,503,14
70,656,4
70,656,14
70,774,-1
70,829,4
71,103,-1
71,173,-1
71,199,4
71,333,48
71,333,4
71,333,56
71,479,56
71,584,56
71,584,85
71,731,4
72,147,56
72,236,4
72,236,70
72,285,107
72,728,82
73,34,0
73,74,41
73,92,0
73,104,-1
73,153,0
73,329,41
73,344,40
73,431,-1
73,438,0
73,456,0
73,589,40
73,976,0
74,173,12
74,194,4
74,327,12
74,327,35
74,483,48
74,483,4
74,483,35
74,483,12
74,563,12
74,563,45
74,892,4
75,293,48
75,293,107
75,387,4
75,387,35
75,441,41
75,468,48
75,468,4
75,485,12
75,486,4
75,486,35
75,505,12
75,580,4
75,580,35
75,996,-1
76,196,0
76,305,4
76,331,4
76,331,56
76,331,35
76,439,-1
76,534,14
76,550,4
76,550,70
77,304,70
77,332,48
77,409,48
77,409,4
77,409,263
77,576,-1
77,714,384
77,714,4
77,853,-1
78,20,38
78,123,12
78,532,243
78,532,99
78,532,318
78,761,12
78,761,108
79,26,4
79,220,48
79,220,35
79,225,48
79,225,4
79,225,35
79,240,4
79,240,35
79,316,48
79,395,70
79,424,4
79,424,35
79,447,-1
79,540,4
79,540,35
79,551,48
79,551,4
79,948,4
79,948,14
80,5,0
80,62,0
80,149,-1
80,453,0
81,64,4
81,119,-1
81,164,48
81,240,4
81,317,-1
81,407,48
81,444,4
81,594,-1
82,50,4
82,247,4
82,247,35
82,310,-1
82,507,-1
82,597,41
82,597,40
82,600,4
82,600,35
83,55,12
83,71,4
83,71,35
83,174,45
83,275,56
83,302,48
83,302,108
83,302,12
83,381,48
83,435,48
83,435,35
83,484,-1
83,601,56
83,601,45
83,699,-1
83,706,-1
83,820,12
83,820,4
83,820,35
83,849,48
83,849,4
83,849,56
83,849,35
84,122,4
84,255,-1
84,351,99
84,457,-1
84,594,-1
84,639,48
84,639,4
85,28,4
85,28,35
85,107,108
85,224,108
85,224,224
85,290,-1
85,298,4
85,298,35
85,299,4
85,303,108
85,339,108
85,397,4
85,397,35
85,439,-1
85,842,-1
86,16,4
86,16,35
86,156,4
86,156,35
86,241,14
86,241,11
87,362,48
87,362,4
87,404,12
87,508,48
87,994,41
88,307,-1
88,378,4
88,378,35
88,460,53
88,653,7
88,678,4
88,678,35
88,678,40
89,71,4
89,80,4
89,80,0
89,99,4
89,138,113
89,138,0
89,138,75
89,324,-1
89,381,108
89,389,-1
89,449,274
89,515,113
89,556,113
89,556,4
89,676,-1
89,761,108
90,42,14
90,245,-1
90,333,56
90,373,-1
90,391,14
90,724,41
90,802,14
91,568,35
91,604,108
91,609,113
91,609,70
91,900,35
92,37,12
92,37,56
92,170,12
92,170,55
92,272,12
92,272,35
92,352,7
92,479,12
92,479,107
92,479,56
92,593,107
92,703,40
92,832,40
92,882,107
93,4,24
93,10,-1
93,245,4
93,245,24
93,296,-1
93,391,4
94,47,171
94,47,0
94,698,12
95,79,-1
95,278,-1
95,354,-1
95,413,48
95,443,4
95,443,13
95,507,108
95,507,13
95,769,108
95,801,4
95,848,48
95,991,-1
96,19,12
96,86,4
96,259,-1
96,328,4
96,328,7
96,347,48
96,368,12
96,378,12
96,378,4
96,575,4
96,614,19
96,650,48
96,650,4
96,683,-1
96,854,-1
97,18,-1
97,390,107
97,390,13
97,487,-1
97,815,-1
97,817,4
97,817,40
97,915,4
97,915,40
98,35,-1
98,73,4
98,73,40
98,178,-1
98,274,107
98,274,108
98,274,0
98,280,107
98,280,40
98,560,126
98,560,107
98,560,125
98,663,4
98,663,983
99,83,-1
99,111,-1
99,136,4
99,138,4
99,142,4
99,252,4
99,413,48
99,413,12
99,456,4
99,561,-1
99,660,12
99,747,4
99,796,4
99,803,-1
99,817,4
100,41,41
100,41,40
100,149,41
100,367,4
100,367,35
100,419,246
100,550,4
100,550,7
100,550,35
100,584,-1
100,622,4
100,784,4
101,42,4
101,87,4
101,101,108
101,111,108
101,129,4
101,244,4
101,244,52
101,359,108
101,616,243
101,693,12
101,822,41
101,822,519
102,59,12
102,72,35
102,144,-1
102,230,35
102,289,126
102,515,35
102,515,13
102,535,12
102,593,45
102,620,12
102,770,43
102,784,12
102,841,43
103,190,107
103,280,107
103,428,12
103,428,519
103,658,56
103,746,4
103,756,4
103,756,0
103,788,48
103,788,4
104,36,-1
104,41,-1
104,54,4
104,67,107
104,166,4
104,382,4
104,444,4
104,464,4
104,663,4
105,145,243
105,375,4
105,798,243
105,880,107
106,89,12
106,89,56
106,89,0
106,201,12
106,403,-1
106,719,13
106,757,4
106,757,35
107,168,-1
107,193,-1
107,605,-1
107,617,-1
107,628,-1
107,758,-1
108,231,-1
108,362,4
108,421,12
108,480,4
108,511,4
108,687,12
109,314,4
109,420,4
109,597,40
109,665,87
109,665,4
109,746,4
109,746,14
109,851,48
109,851,65
109,953,40
110,183,7
110,314,-1
110,325,45
110,511,7
110,578,12
110,590,45
110,623,-1
111,44,12
111,44,165
111,222,12
111,222,267
111,457,-1
111,463,70
111,463,75
111,483,12
111,506,173
111,521,-1
111,529,107
111,534,14
111,534,40
111,938,14
111,938,13
112,96,4
112,96,78
112,160,12
112,160,65
112,232,333
112,232,4
112,232,13
112,457,-1
113,108,-1
113,194,-1
113,241,13
113,262,13
113,460,-1
113,607,48
113,745,48
114,67,12
114,67,107
114,67,45
114,98,12
114,98,0
114,134,12
114,198,0
114,198,35
114,491,-1
114,526,56
114,547,0
114,851,-1
114,876,-1
114,940,14
114,963,0
115,155,4
115,155,7
115,189,4
115,628,4
116,12,0
116,33,0
116,180,-1
116,393,-1
116,444,4
116,559,4
116,559,0
116,687,-1
117,22,4
117,22,0
117,61,4
117,61,0
117,166,4
117,173,-1
117,301,4
117,301,0
117,557,4
117,737,4
117,737,0
117,785,634
118,45,41
118,76,12
118,169,107
118,186,12
118,216,12
118,216,107
118,216,45
118,797,4
118,991,-1
119,116,22
119,153,48
119,153,4
119,285,12
119,285,108
119,297,12
119,297,4
119,356,4
119,416,12
119,416,24
119,538,-1
120,51,-1
120,55,12
120,239,4
120,239,356
120,239,35
120,301,4
120,301,14
120,523,4
120,956,495
120,956,107
121,222,12
121,295,4
121,295,75
121,346,4
121,346,14
121,360,4
121,360,70
121,360,75
121,936,4
121,936,14
121,936,13
122,144,4
122,144,72
122,171,48
122,171,4
122,377,4
122,377,35
122,377,40
122,417,48
122,417,4
122,434,10
122,434,12
122,648,-1
122,687,12
122,704,4
122,704,40
122,796,4
122,796,35
122,897,107
122,959,4
122,959,35
123,0,2
123,0,4
123,0,0
123,85,48
123,85,4
123,141,-1
123,194,4
123,194,7
123,230,48
123,280,107
123,280,2
123,394,4
123,497,-1
123,785,107
123,785,7
124,22,4
124,66,-1
124,75,65
124,241,14
124,334,-1
124,369,4
124,517,4
124,517,14
124,517,40
124,546,-1
124,601,65
124,714,4
125,47,-1
125,174,41
125,212,-1
126,78,7
126,212,-1
126,231,7
126,280,2
126,356,4
126,356,35
126,423,0
126,423,35
126,544,82
126,594,2
126,643,4
126,643,14
126,745,-1
126,813,4
126,813,14
127,136,4
127,136,70
127,136,75
127,205,4
127,318,4
127,619,4
127,619,70
127,619,75
127,695,12
127,695,4
128,41,41
128,41,38
128,278,65
128,308,4
128,626,67
128,626,65
129,94,-1
129,335,0
129,458,121
129,638,-1
129,688,-1
130,73,12
130,73,4
130,73,40
130,92,4
130,190,472
130,698,12
130,698,4
130,698,45
130,708,40
130,801,4
130,801,40
131,268,45
131,430,56
131,430,45
131,456,4
131,773,246
131,773,0
131,817,101
131,817,0
131,946,-1
132,35,-1
132,148,12
132,148,35
132,148,45
132,219,12
132,219,35
132,267,38
132,267,40
132,568,4
132,568,0
132,580,4
132,580,0
132,580,35
132,988,40
133,55,12
133,62,4
133,63,-1
133,136,4
133,158,4
133,178,12
133,189,4
133,189,35
133,332,12
133,332,35
133,455,4
133,455,35
133,736,4
133,736,35
134,78,7
134,196,7
134,196,0
134,233,38
134,413,48
134,464,48
134,464,0
134,487,0
134,739,48
135,21,4
135,21,35
135,193,4
135,449,48
135,449,12
135,452,41
135,556,4
135,568,48
135,568,4
135,568,35
135,614,-1
135,744,4
135,744,13
135,775,48
135,918,4
135,918,35
136,319,0
136,442,-1
136,494,14
136,584,12
137,343,4
137,343,35
137,373,4
137,373,35
137,409,4
137,409,40
137,667,4
137,667,35
137,695,12
137,695,4
137,790,41
137,790,4
138,18,-1
138,429,107
138,523,4
138,523,44
138,640,-1
138,915,4
139,420,4
139,420,35
139,423,4
139,423,0
139,550,12
139,550,4
139,820,12
139,820,4
139,820,35
140,88,-1
140,117,-1
140,155,-1
140,158,48
140,168,45
140,196,11
140,298,-1
140,302,48
140,344,48
141,32,12
141,32,0
141,32,35
141,158,-1
141,466,0
141,533,-1
141,946,-1
142,123,41
142,123,56
142,224,107
142,224,108
142,258,4
142,258,35
142,406,4
142,406,35
142,448,12
142,448,107
142,591,12
142,609,22
142,609,56
142,690,56
142,922,4
142,940,4
142,940,14
143,114,4
143,181,12
143,181,35
143,211,4
143,211,14
143,239,4
143,239,35
143,402,4
143,730,12
143,832,43
143,840,-1
143,927,605
144,148,12
144,153,48
144,153,0
144,153,267
144,189,113
144,242,-1
144,267,40
144,497,12
144,533,-1
145,175,-1
145,196,0
145,632,4
145,632,35
146,160,12
146,172,108
146,197,-1
146,222,12
146,222,4
146,291,-1
146,349,4
146,619,4
146,769,12
146,769,108
146,776,4
147,212,-1
147,451,35
147,677,171
148,263,6
148,375,12
148,375,4
148,434,12
148,557,4
148,625,4
148,636,65
148,642,4
149,15,10
149,15,7
149,15,0
149,188,-1
149,249,48
149,249,4
149,249,12
149,673,294
149,745,48
149,745,12
150,25,-1
150,124,0
150,288,171
150,361,10
150,370,0
150,431,48
150,517,40
150,892,-1
151,34,6
151,34,4
151,34,7
151,161,4
151,186,12
151,186,7
151,270,4
151,270,7
151,338,12
151,338,171
151,338,0
151,381,263
151,396,12
151,396,4
151,479,12
151,659,12
151,659,4
151,659,0
151,693,12
151,996,-1
152,29,72
152,29,4
152,29,35
152,118,12
152,118,4
152,118,0
152,127,4
152,127,0
152,127,35
152,253,48
152,253,4
152,283,56
152,343,4
152,343,35
152,343,114
152,343,45
152,556,45
152,556,35
152,757,4
152,757,35
152,980,12
153,11,12
153,11,4
153,162,12
153,162,4
153,288,14
153,327,12
153,327,35
153,384,4
153,384,14
153,621,4
153,621,14
153,700,12
153,700,35
153,964,12
154,205,4
154,205,14
154,649,4
154,649,72
154,671,4
154,746,113
154,746,14
154,781,113
154,781,4
154,781,14
155,55,12
155,275,56
155,580,4
155,648,56
155,724,-1
156,13,12
156,13,4
156,13,45
156,102,41
156,102,20
156,126,171
156,206,12
156,344,119
156,400,-1
156,442,-1
156,457,41
156,469,-1
157,4,7
157,82,48
157,82,107
157,117,107
157,117,7
157,207,12
157,230,48
157,230,4
157,230,40
157,453,12
157,643,4
157,674,113
157,674,4
157,972,85
158,529,-1
158,586,67
159,312,-1
159,336,4
159,456,4
159,456,0
159,460,56
159,669,4
159,669,40
159,963,4
159,963,7
159,963,0
160,72,4
160,72,35
160,250,4
160,250,35
160,281,4
160,413,48
160,421,-1
160,438,4
160,438,35
161,124,12
161,301,4
161,462,4
161,501,4
161,501,45
161,580,4
161,580,70
162,27,4
162,27,35
162,533,-1
163,152,12
163,152,4
163,314,4
163,431,12
163,431,4
163,683,-1
164,325,107
164,537,48
164,562,48
164,562,4
164,562,35
164,802,0
164,802,35
164,802,13
164,881,107
164,952,1185
165,8,12
165,8,0
165,163,4
165,301,4
165,415,12
165,415,4
165,720,0
165,730,12
165,730,65
165,981,12
166,56,4
166,56,0
166,58,4
166,110,12
166,126,0
166,195,0
166,244,4
166,391,113
166,391,4
166,446,-1
166,470,12
166,470,4
166,475,12
166,544,12
166,629,41
166,629,1185
166,650,4
166,805,4
166,876,4
167,18,-1
167,206,12
167,206,30
167,484,-1
167,790,48
167,944,12
167,964,48
168,7,40
168,503,4
168,503,14
168,503,13
168,511,4
168,548,40
168,557,4
168,557,40
169,473,48
169,609,-1
169,636,-1
169,667,-1
169,703,0
169,722,0
169,723,48
169,810,-1
170,20,40
170,184,4
170,184,56
170,184,0
170,349,4
170,889,107
171,292,-1
171,549,12
171,549,4
171,674,4
171,778,12
171,778,4
172,346,4
172,346,14
172,599,4
172,612,48
172,612,12
172,658,269
172,727,4
172,780,-1
172,924,4
173,3,4
173,131,4
173,131,0
173,626,48
173,626,12
173,627,48
173,718,48
174,16,4
174,21,75
174,21,35
174,21,0
174,40,48
174,40,4
174,40,35
174,45,56
174,246,4
174,246,0
174,254,48
174,254,4
174,254,35
174,355,-1
174,376,4
174,376,56
174,376,35
174,457,56
174,483,48
174,483,4
174,483,35
174,539,4
174,943,48
174,943,35
175,121,48
175,121,4
175,121,56
175,225,48
175,225,4
175,472,48
175,535,4
175,640,-1
175,673,48
176,50,4
176,50,35
176,91,-1
176,187,4
176,187,0
176,187,35
176,333,4
176,333,35
176,456,4
176,456,0
176,960,4
177,20,43
177,20,93
177,80,12
177,80,0
177,251,12
177,251,0
177,254,48
177,254,35
177,332,48
177,332,35
177,332,12
177,452,43
177,464,48
177,464,0
177,464,35
177,496,107
177,496,472
177,645,22
177,645,56
178,13,12
178,13,45
178,41,45
178,138,35
178,185,12
178,213,12
178,282,35
178,287,20
178,361,45
178,417,35
178,419,-1
178,443,35
178,459,35
178,459,45
178,597,-1
178,678,35
178,796,35
178,904,12
178,941,12
178,941,244
179,70,12
179,187,113
179,187,14
179,219,12
179,241,14
179,534,14
179,581,40
179,589,12
179,589,40
179,589,52
179,609,113
179,694,40
179,735,12
179,898,-1
180,42,14
180,42,157
180,44,-1
180,247,171
180,262,107
180,264,171
180,367,35
180,373,35
180,411,35
180,712,107
180,850,-1
180,914,35
181,76,-1
181,452,42
181,818,35
181,959,7
182,54,70
182,54,192
182,89,12
182,193,-1
182,229,12
182,334,12
182,334,56
182,417,-1
182,460,41
182,460,56
182,734,-1
182,964,12
183,66,108
183,217,12
183,217,108
183,264,4
183,280,22
183,506,7
183,507,108
183,513,243
183,513,7
183,651,4
183,747,355
183,805,4
183,918,4
183,936,4
184,160,56
184,166,4
184,212,20
184,283,56
184,296,56
184,353,56
184,587,87
184,587,4
184,619,4
184,725,4
184,749,40
184,781,4
185,53,12
185,196,-1
185,312,-1
185,379,12
185,399,35
185,525,48
185,596,35
185,716,48
185,716,91
185,716,35
185,789,-1
186,31,107
186,284,107
186,284,45
186,440,-1
186,463,35
186,501,35
186,597,41
187,1,12
187,1,0
187,431,48
187,431,4
187,431,12
187,499,4
187,499,35
187,518,48
187,518,4
187,518,35
187,518,12
187,741,-1
187,861,41
187,861,12
187,861,519
187,861,0
188,4,21
188,4,24
188,110,-1
188,253,-1
188,276,-1
188,375,-1
188,483,-1
188,530,24
188,579,-1
189,38,-1
189,116,335
189,116,45
189,232,4
189,232,14
189,262,-1
189,354,-1
189,358,45
189,409,4
189,409,40
189,561,45
189,586,-1
189,634,-1
189,802,4
189,802,14
189,824,4
190,102,41
190,102,38
190,102,40
190,445,48
190,445,4
190,445,14
190,480,4
190,488,12
190,488,4
190,575,4
190,715,12
190,715,108
191,253,44
191,253,35
191,376,56
191,405,0
191,405,72
191,405,35
191,572,-1
191,694,44
191,694,40
191,904,-1
192,47,0
192,255,316
192,255,13
192,318,48
192,527,67
192,929,67
193,18,-1
193,137,4
193,146,-1
193,289,48
193,338,12
193,378,12
193,378,4
193,394,4
193,395,6
193,539,4
193,877,41
193,877,40
193,909,48
193,981,12
194,207,-1
194,453,82
194,797,4
195,64,12
195,64,35
195,64,13
195,111,107
195,111,13
195,133,14
195,133,0
195,148,12
195,265,40
195,271,-1
195,340,48
195,401,0
195,401,40
195,493,10
195,493,12
196,231,41
196,231,45
196,514,12
196,695,10
196,695,12
197,486,4
197,486,35
197,585,4
197,632,4
197,632,35
197,794,4
198,385,107
198,562,56
198,701,55
198,731,70
199,82,108
199,247,113
199,247,4
199,247,35
199,407,4
199,407,40
199,495,10
199,495,12
199,753,113
199,753,1004
199,753,65
199,931,10
200,23,0
200,87,4
200,87,7
200,89,0
200,313,48
200,635,48
200,635,4
200,895,381
200,951,4
200,951,13
201,93,4
201,119,42
201,158,4
201,158,224
201,169,-1
201,321,4
201,321,224
201,637,4
201,677,-1
202,146,70
202,286,48
202,451,4
202,493,-1
202,534,-1
202,562,48
203,109,-1
203,255,-1
203,260,-1
203,302,-1
203,537,-1
204,218,12
204,279,40
204,286,-1
204,378,12
204,446,7
204,848,12
204,907,7
205,1,0
205,25,35
205,48,107
205,267,41
205,286,19
205,296,-1
205,304,41
205,326,-1
205,639,0
205,813,28
205,813,35
205,844,-1
206,96,4
206,96,0
206,96,20
206,140,4
206,140,45
206,226,4
206,226,13
206,263,0
206,956,13
206,968,65
207,84,48
207,306,4
207,618,56
207,657,12
207,744,4
208,71,-1
208,206,0
208,591,-1
208,594,-1
208,624,-1
208,735,41
208,879,41
208,879,95
209,125,4
209,161,4
209,215,-1
209,244,4
209,388,4
209,559,4
209,729,4
209,847,4
209,963,4
210,2,4
210,168,82
210,255,-1
210,564,-1
210,702,-1
210,907,4
210,907,7
211,67,107
211,235,107
212,39,12
212,86,4
212,86,35
212,96,4
212,96,35
212,122,4
212,122,15
212,138,4
212,389,-1
212,457,-1
212,472,12
212,472,4
212,590,45
212,657,12
212,657,107
213,47,7
213,47,0
213,530,4
213,530,0
214,71,4
214,74,-1
214,183,4
214,264,4
214,309,4
214,309,229
214,694,44
215,18,25
215,18,0
215,205,4
215,280,-1
215,360,4
215,445,48
215,445,4
215,551,48
215,551,4
215,627,48
215,627,108
215,634,48
215,634,173
216,124,0
216,271,85
216,309,4
216,389,40
216,489,-1
216,491,4
216,502,40
216,667,4
216,691,108
216,691,13
216,916,4
217,78,10
217,195,0
217,203,40
217,230,48
217,230,4
217,382,4
217,400,48
217,465,40
217,674,4
217,871,40
217,948,4
218,348,48
218,374,45
218,693,48
218,693,4
218,693,35
218,898,4
218,898,2
218,898,35
219,100,7
219,139,56
219,144,4
219,153,48
219,153,4
219,449,48
219,688,-1
220,149,12
220,180,-1
220,305,35
220,305,356
220,305,13
220,377,35
220,456,-1
220,844,12
221,79,12
221,88,12
221,88,35
221,194,6
221,194,35
221,276,35
221,283,-1
221,355,-1
221,374,12
221,632,35
221,642,35
222,51,40
222,73,4
222,73,44
222,92,4
222,197,-1
222,203,41
222,203,40
222,292,41
222,453,-1
222,484,41
222,484,44
223,41,41
223,165,-1
223,208,48
223,278,-1
223,301,4
223,749,41
224,33,-1
224,83,-1
224,156,4
224,165,-1
224,175,41
224,312,-1
224,387,4
224,387,14
224,494,4
224,562,4
224,562,56
224,585,4
224,602,4
224,718,14
224,807,4
225,43,4
225,43,56
225,329,-1
225,368,45
225,416,4
225,416,56
225,732,48
225,732,45
226,21,4
226,21,75
226,272,12
226,404,12
226,404,4
226,927,40
227,4,-1
227,102,-1
227,494,14
227,527,243
227,527,67
227,602,14
227,602,269
227,886,244
228,100,171
228,100,0
228,126,171
228,126,0
228,243,0
228,518,48
228,518,35
228,646,14
229,42,6
229,42,4
229,156,6
229,156,35
229,307,-1
229,321,4
229,321,35
229,346,4
229,346,35
229,737,4
229,737,0
229,849,4
229,987,2
230,59,4
230,112,4
230,112,35
230,317,41
230,575,4
230,575,75
230,659,4
231,70,12
231,249,12
