movieid,tagid,tagCount
54,173,3069
54,178,3005
54,25,2564
54,179,2432
54,180,2274
55,77,14315
55,79,6124
55,80,4677
55,181,3228
55,82,1852
55,81,1359
55,7,846
55,83,821
56,43,5635
56,10,2818
56,21,1965
56,147,1307
56,89,1277
56,13,1076
56,182,824
56,5,491
57,25,4683
57,183,4313
57,10,4181
57,21,3698
57,184,3212
57,13,2313
57,138,2021
57,18,1261
58,185,25326
58,166,24676
58,21,23151
58,10,14240
58,13,8707
58,186,7951
58,187,6918
58,18,5436
59,25,9370
59,10,6067
59,188,3922
59,1,3340
59,13,3248
59,189,2616
59,21,2285
59,190,1983
60,43,22752
60,10,13043
60,5,10478
60,191,9014
60,21,6834
60,192,6567
60,193,5712
60,13,5308
61,43,10955
61,194,9024
61,10,6059
61,5,5912
61,195,4042
61,21,3707
61,13,2912
61,196,1466
62,45,118
62,10,112
62,197,84
62,198,64
62,13,44
62,199,43
62,200,32
62,201,31
63,202,1418
63,156,1361
63,203,835
63,10,743
63,197,587
63,35,474
63,198,429
63,13,383
64,204,11705
64,28,10282
64,205,6541
64,26,4469
64,41,3924
64,27,3911
64,23,2798
64,7,1340
65,206,4330
65,41,1001
65,26,916
65,28,786
65,207,731
65,50,722
65,23,698
65,7,232
66,152,903
66,208,519
66,10,333
66,209,261
66,29,206
66,210,172
66,13,148
66,211,101
67,206,7674
67,41,2125
67,50,1951
67,26,1669
67,212,1374
67,28,1342
67,23,1139
67,7,460
68,206,11795
68,213,3687
68,50,2980
68,41,2843
68,26,2538
68,23,1806
68,28,1566
68,7,779
69,156,3096
69,214,2670
69,215,2195
69,216,1882
69,217,1256
69,13,729
69,10,636
69,218,525
70,25,18660
70,21,9903
70,50,5825
70,18,4274
70,135,3178
70,219,2134
70,220,2079
70,52,2049
71,71,91
71,36,79
71,33,69
71,163,38
71,25,30
72,204,583
72,26,173
72,41,156
72,23,108
72,50,86
72,221,79
72,222,74
72,113,58
73,33,8562
73,71,6903
73,223,4627
73,28,4081
73,50,3861
73,36,3597
73,224,1871
73,7,1180
74,152,1142
74,225,828
74,35,695
74,226,366
74,227,241
74,228,210
74,229,206
74,230,157
75,231,22042
75,89,8568
75,232,8474
75,45,7243
75,26,5478
75,23,5015
75,233,4255
75,41,3554
76,234,5703
76,73,4318
76,25,4114
76,50,3618
76,33,2858
76,10,1913
76,74,1844
76,21,1791
77,235,1201
77,236,935
77,45,734
77,21,600
77,237,462
77,238,254
77,7,181
77,239,135
78,80,695
78,101,544
78,89,402
78,142,273
78,21,266
78,240,191
78,241,165
78,242,150
79,243,337
79,80,229
79,101,228
79,244,206
79,25,135
79,245,64
79,45,50
79,246,37
80,247,1721
80,80,1554
80,101,1080
80,21,785
80,142,714
80,187,503
80,5,306
80,7,235
81,170,411
81,248,316
81,249,204
81,21,168
81,25,122
81,250,92
81,251,79
81,252,71
82,253,964
82,33,933
82,5,691
82,36,550
82,21,545
82,64,309
82,254,266
82,255,208
83,10,276
83,256,242
83,216,156
83,257,146
83,187,143
83,13,114
83,258,99
83,18,86
84,259,9782
84,33,7514
84,260,5426
84,36,4305
84,261,4258
84,25,3708
84,71,3143
84,47,2408
85,71,7821
85,142,7079
85,10,7013
85,262,3617
85,13,3375
85,263,2745
85,21,2129
85,18,1416
86,16,14979
86,10,12579
86,264,10222
86,265,9233
86,21,8817
86,13,6325
86,89,6054
86,266,4250
87,10,91
87,71,47
87,13,47
87,9,46
87,267,35
87,14,22
87,268,21
88,269,1238
88,270,1182
88,33,954
88,36,601
88,21,571
88,25,543
88,271,524
88,12,457
89,71,2211
89,10,1631
89,25,1078
89,272,938
89,13,853
89,273,512
89,274,339
89,275,325
90,231,26625
90,28,18686
90,276,15682
90,277,10683
90,26,8939
90,278,8498
90,21,6815
90,23,6214
91,22,1915
91,279,699
91,26,693
91,23,534
91,41,451
91,280,372
91,281,298
91,7,120
92,282,9255
92,33,7793
92,283,6767
92,50,5980
92,36,4096
92,284,2953
92,285,1969
92,7,1406
93,286,3385
93,287,3325
93,24,1907
93,288,1452
93,289,1046
93,290,842
93,291,798
93,7,431
94,292,16169
94,80,8984
94,89,6226
94,101,4604
94,21,4385
94,293,3467
94,294,1711
94,18,1373
95,98,4439
95,79,3616
95,99,2862
95,80,2751
95,43,2193
95,82,1667
95,81,893
95,7,433
96,286,4752
96,287,4691
96,216,2820
96,288,2110
96,290,1308
96,289,1282
96,295,531
96,7,521
97,296,2071
97,27,1238
97,297,1000
97,298,682
97,299,626
97,300,439
97,301,363
97,93,305
98,79,558
98,33,389
98,43,343
98,302,253
98,95,101
98,303,100
98,304,76
98,84,67
99,25,20755
99,10,9353
99,50,7144
99,21,5037
99,189,4982
99,162,2971
99,305,2929
99,306,1603
100,216,7324
100,307,5518
100,10,4885
100,13,3213
100,21,2520
100,18,1558
100,147,1250
100,119,1220
101,56,37127
101,308,15892
101,59,15284
101,57,13298
101,2,11039
101,3,9604
101,309,8988
101,25,8922
102,10,20933
102,119,16164
102,310,15330
102,21,14632
102,142,10159
102,18,8643
102,164,4583
102,113,3076
103,311,44888
103,21,37543
103,35,29227
103,64,27819
103,162,24637
103,312,17000
103,151,11669
103,18,9410
104,282,7781
104,33,5202
104,50,3569
104,36,3374
104,284,1960
104,25,1807
104,285,1576
104,7,831
105,282,8531
105,33,6267
105,36,4291
105,50,4150
105,74,2681
105,25,2040
105,284,1882
105,285,1834
106,282,7193
106,33,4656
106,50,3106
106,36,2981
106,284,2268
106,25,1753
106,285,1634
106,7,777
107,313,1446
107,12,804
107,314,645
107,315,612
107,53,542
107,249,504
107,10,345
107,255,281
108,21,61757
108,316,54086
108,29,45800
108,317,35851
108,10,33556
108,318,30932
108,89,22687
108,18,12518
109,229,7333
109,319,4628
109,143,4066
109,16,3133
109,140,2474
109,320,2313
109,18,1478
109,66,965
110,36,10605
110,33,9806
110,321,8038
110,322,6967
110,16,3803
110,300,3712
110,169,1763
110,7,1632
111,323,992
111,10,508
111,166,456
111,314,280
111,187,253
111,13,182
111,324,157
111,325,156
112,326,52
112,327,31
113,10,12995
113,135,10676
113,13,6833
113,328,6508
113,89,5831
113,18,4571
113,329,4414
113,21,3592
114,64,27101
114,330,23374
114,236,21387
114,21,19462
114,16,15938
114,331,12386
114,151,8884
114,45,8051
115,332,19956
115,89,18018
115,10,18009
115,333,14719
115,21,12702
115,13,8375
115,18,7439
115,1,5605
116,166,2311
116,186,2198
116,334,2061
116,10,1549
116,187,1332
116,119,1031
116,13,772
116,21,700
117,323,3740
117,10,1993
117,187,1906
117,164,1483
117,13,863
117,325,665
117,220,601
117,18,576
118,235,3819
118,335,2321
118,315,1895
118,164,1717
118,237,1023
118,336,727
118,33,583
118,337,566
119,229,4456
119,338,2897
119,319,2286
119,339,1957
119,236,1771
119,21,1334
119,45,869
119,18,836
120,340,12092
120,119,10837
120,187,8201
120,166,7551
120,341,5700
120,342,3804
120,28,3196
120,343,1688
121,12,78
121,171,46
121,172,36
121,173,31
122,287,8097
122,286,7158
122,25,4173
122,288,3322
122,344,2029
122,289,1720
122,290,1706
122,7,965
123,25,16058
123,345,14074
123,10,8243
123,346,7361
123,190,5847
123,347,5738
123,13,5075
123,7,2007
124,0,33635
124,1,17542
124,21,15565
124,2,12704
124,25,10142
124,3,8699
124,348,6058
124,349,5763
125,142,10408
125,187,6452
125,10,5720
125,350,4050
125,351,3031
125,21,2366
125,13,2261
125,18,1921
126,33,39974
126,352,35857
126,353,27613
126,36,24060
126,21,17821
126,25,17123
126,1,9113
126,7,6188
127,214,4081
127,354,2069
127,355,1750
127,18,1556
127,356,1248
127,357,689
127,287,650
127,358,553
128,142,21019
128,359,16812
128,10,9194
128,21,5912
128,360,5035
128,13,4359
128,310,3579
128,361,2539
129,340,9115
129,362,5592
129,89,5303
129,27,4165
129,342,3601
129,21,2706
129,18,2258
129,363,1251
130,364,32762
130,365,14856
130,28,13659
130,80,12336
130,101,8756
130,7,2751
130,366,2241
130,367,1472
131,364,50150
131,80,27197
131,25,27113
131,368,21537
131,101,13687
131,28,11682
131,21,10880
131,369,9809
132,370,7044
132,10,5982
132,21,4060
132,371,3830
132,119,3145
132,372,2886
132,13,2823
132,18,2326
133,142,32029
133,373,25767
133,10,20469
133,187,19966
133,374,18078
133,375,15643
133,263,13161
133,21,12292
134,89,16140
134,376,14830
134,10,14275
134,21,13074
134,318,10410
134,377,8951
134,13,6209
134,18,5067
135,263,9619
135,378,6385
135,379,5950
135,10,4895
135,380,3068
135,381,2505
135,13,2472
135,382,1721
136,43,7605
136,379,5403
136,10,3571
136,21,2973
136,380,2576
136,381,1822
136,13,1561
136,7,756
137,10,792
137,197,564
137,307,532
137,198,472
137,144,365
137,89,359
137,13,329
137,18,281
138,119,8100
138,10,5551
138,198,4890
138,187,4883
138,89,3405
138,13,2908
138,197,2430
138,21,2301
139,10,1669
139,143,1571
139,198,1017
139,140,784
139,197,738
139,142,630
139,13,604
139,21,432
140,379,14605
140,383,11316
140,119,11126
140,12,9684
140,28,7330
140,21,6509
140,380,5067
140,173,3377
141,33,7177
141,353,6104
141,25,5024
141,36,3978
141,384,2637
141,45,2620
141,385,2347
141,386,1750
142,156,3066
142,170,2152
142,387,1939
142,140,1100
142,12,823
142,21,729
142,388,683
142,182,407
143,45,4789
143,389,4115
143,10,3932
143,390,3286
143,89,2994
143,13,1879
143,21,1721
143,391,1294
144,10,13003
144,166,11827
144,21,9085
144,370,7772
144,392,6498
144,162,5010
144,13,4439
144,372,3442
145,323,2577
145,314,1797
145,10,1377
145,1,1109
145,393,666
145,13,593
145,35,484
145,358,420
146,43,8515
146,1,4521
146,394,2719
146,10,2329
146,12,2183
146,21,1233
146,13,1067
146,395,1013
147,166,4963
147,370,3330
147,10,3113
147,396,2640
147,187,2240
147,371,1653
147,372,1572
147,13,1444
148,10,1713
148,187,1338
148,21,1117
148,13,791
148,1,709
148,397,670
148,398,519
148,399,486
149,10,6050
149,164,5294
149,400,4724
149,13,2668
149,18,2523
149,313,2188
149,401,1918
149,358,1155
150,402,10342
150,10,9836
150,28,9154
150,403,7225
150,27,7030
150,21,6059
150,13,5008
150,25,3454
151,28,7370
151,10,7259
151,119,6749
151,404,5398
151,405,3764
151,406,3158
151,13,3032
151,407,1767
152,408,16838
152,10,12120
152,409,7637
152,410,7205
152,25,7085
152,13,6222
152,1,5358
152,18,5126
153,229,15089
153,411,11676
153,319,8305
153,28,5992
153,21,5139
153,18,4953
153,7,2344
153,93,1866
154,12,1188
154,25,939
154,412,886
154,173,485
154,18,415
154,363,257
154,10,237
154,7,199
155,64,1957
155,223,1461
155,25,951
155,28,882
155,151,759
155,71,515
155,224,515
155,33,265
156,88,363
156,413,257
156,414,141
156,415,116
156,375,101
156,416,82
156,417,68
156,418,62
157,10,3331
157,314,3056
157,14,1979
157,13,1365
157,43,1059
157,18,944
157,419,884
157,313,795
158,420,1962
158,10,1095
158,187,834
158,18,653
158,13,466
158,421,281
158,108,267
158,422,229
159,152,10839
159,33,5352
159,423,4321
159,424,3055
159,425,2352
159,36,1768
159,426,1301
159,427,1233
160,152,5580
160,33,2937
160,423,2039
160,424,1744
160,428,1333
160,429,1048
160,36,913
160,426,544
161,430,25664
161,25,23253
161,1,13409
161,6,6572
161,28,5570
161,21,3783
161,189,1984
161,106,1809
162,431,12803
162,2,9431
162,432,8978
162,67,8070
162,433,6719
162,3,6664
162,21,4479
162,261,4261
163,10,4180
163,21,3761
163,434,2454
163,156,2080
163,13,2010
163,435,1796
163,436,1595
163,437,1019
164,136,7377
164,25,5372
164,309,4772
164,438,3466
164,3,3265
164,2,2893
164,439,2808
164,28,2552
165,33,58
165,36,28
165,440,26
165,35,22
166,5,7244
166,441,5956
166,33,5617
166,36,3328
166,119,3087
166,187,2496
166,442,1509
166,306,1026
167,152,4100
167,69,3067
167,64,1836
167,23,1568
167,278,1202
167,151,583
167,443,539
167,444,431
168,56,30399
168,445,12393
168,2,12251
168,432,6160
168,25,5671
168,21,5499
168,50,4360
168,446,1681
169,447,13679
169,132,8657
169,28,6419
169,448,5617
169,133,4756
169,449,4465
169,450,1303
169,7,1186
170,451,6262
170,132,3102
170,133,2453
170,28,1437
170,452,1398
170,25,1123
170,453,478
170,274,448
171,322,5328
171,454,4723
171,455,4303
171,2,3928
171,24,2671
171,25,1887
171,291,1865
171,28,1533
172,43,5006
172,10,2279
172,142,2092
172,164,1686
172,456,906
172,13,779
172,363,689
172,263,649
173,1,387
173,10,279
173,457,245
173,13,142
173,6,94
173,108,81
173,7,63
173,458,54
174,120,514
174,118,414
174,10,342
174,187,290
174,13,156
174,459,110
174,121,109
174,460,96
175,80,3316
175,101,3011
175,461,2150
175,27,1328
175,462,1225
175,28,993
175,300,666
175,450,467
176,33,2838
176,463,2236
176,464,1900
176,36,1367
176,25,1026
176,465,851
176,466,851
176,467,460
177,24,2626
177,132,2568
177,468,1612
177,28,1414
177,133,1352
177,469,1043
177,470,701
177,1,633
178,80,357
178,101,346
178,471,218
178,472,194
178,216,119
178,102,103
178,473,93
178,135,79
179,10,3348
179,71,2024
179,13,1793
179,474,1274
179,18,1085
179,475,1028
179,476,996
179,25,729
180,152,996
180,477,748
180,202,571
180,10,353
180,35,322
180,444,130
180,478,92
180,13,66
181,479,22922
181,142,21754
181,10,18101
181,310,17323
181,43,15710
181,13,7820
181,263,6770
181,18,6579
182,10,4989
182,187,4738
182,480,3848
182,13,2517
182,5,2174
182,481,1792
182,18,1382
182,1,1029
183,482,537
183,24,332
183,307,310
183,249,238
183,483,201
183,1,150
183,484,117
183,446,112
184,79,4191
184,43,3441
184,485,2337
184,10,1895
184,80,1209
184,84,729
184,7,554
184,97,513
185,187,5707
185,10,4680
185,142,4255
185,350,3289
185,486,2501
185,13,1879
185,18,1708
185,21,1666
186,12,1804
186,42,1615
186,45,1511
186,171,1073
186,156,1045
186,21,818
186,173,778
186,140,488
187,202,2235
187,10,1973
187,28,1521
187,35,1169
187,27,907
187,13,827
187,487,447
187,18,367
188,279,19464
188,488,11602
188,40,10490
188,26,7820
188,489,7355
188,278,7340
188,23,5349
188,41,4863
189,490,39665
189,491,26840
189,25,25239
189,10,19106
189,17,17050
189,21,15878
189,15,15449
189,13,10543
190,364,27700
190,80,11161
190,492,10663
190,28,8451
190,101,6708
190,493,6671
190,25,5494
190,52,4514
191,494,4010
191,2,3054
191,3,2451
191,495,2015
191,28,1585
191,496,1091
191,50,875
191,459,664
192,80,631
192,314,378
192,101,314
192,497,282
192,498,274
192,499,205
192,459,105
192,25,91
193,25,29210
193,12,20901
193,1,12800
193,321,10020
193,189,6782
193,500,6432
193,21,3476
193,10,3155
194,64,22825
194,501,20948
194,151,10281
194,502,9944
194,27,8801
194,71,8708
194,28,7833
194,25,7263
195,389,1552
195,370,1481
195,10,1296
195,45,1088
195,372,740
195,13,636
195,89,619
195,21,472
196,447,17981
196,132,12119
196,133,8418
196,503,7831
196,50,6738
196,169,4458
196,7,1773
196,504,1541
197,314,2716
197,12,1855
197,1,1707
197,187,761
197,10,608
197,173,601
197,505,469
197,21,457
198,80,12010
198,506,11975
198,119,8408
198,89,6796
198,507,6240
198,101,5907
198,508,4182
198,509,3654
199,33,523
199,464,268
199,510,228
199,36,220
199,216,159
199,511,138
199,512,136
199,513,96
200,10,1087
200,454,954
200,514,669
200,166,456
200,13,434
200,24,420
200,18,312
200,515,246
201,57,3527
201,516,3457
201,517,3045
201,2,2767
201,3,2276
201,518,2009
201,166,1916
201,519,1392
202,64,570
202,151,296
202,25,260
202,18,136
202,520,94
202,93,66
202,7,53
202,521,51
203,10,126
203,166,119
203,156,109
203,13,58
203,522,36
203,25,30
203,523,28
203,196,23
204,524,2960
204,10,1999
204,13,1140
204,43,931
204,525,704
204,526,517
204,220,444
204,7,358
205,10,525
205,527,342
205,13,265
205,528,205
205,21,191
205,529,157
205,530,129
205,140,129
206,10,479
206,25,467
206,13,282
206,531,260
206,143,147
206,21,127
206,532,120
206,251,89
207,441,1173
207,33,833
207,36,450
207,533,320
207,25,300
207,534,189
207,535,157
207,536,152
208,88,1650
208,25,1189
208,537,997
208,538,496
208,539,390
208,540,377
208,66,323
208,220,317
209,379,951
209,380,623
209,12,574
209,381,343
209,50,267
209,10,260
209,45,233
209,541,193
210,542,891
210,10,719
210,543,461
210,164,431
210,13,323
210,5,306
210,187,305
210,14,217
211,152,31
212,5,8464
212,266,7070
212,10,6304
212,544,5056
212,13,3437
212,545,2309
212,21,2159
212,7,1397
213,1,572
213,10,426
213,457,374
213,13,196
213,459,129
213,6,105
213,7,80
213,43,61
214,10,108
214,5,100
214,194,95
214,9,69
214,14,43
214,546,41
214,13,41
214,182,32
215,378,567
215,313,480
215,10,393
215,508,240
215,547,168
215,548,156
215,13,122
215,549,102
216,229,4578
216,319,3062
216,228,2426
216,226,1568
216,25,1277
216,227,1085
216,7,658
216,66,590
217,43,212
217,10,91
217,263,41
217,13,36
217,220,32
217,550,25
217,214,21
218,551,2450
218,2,1699
218,3,1348
218,552,1124
218,261,730
218,553,727
218,5,583
218,554,491
219,10,56
219,13,34
219,555,25
220,292,1659
220,80,826
220,556,548
220,101,415
220,557,318
220,558,230
220,559,192
220,560,112
221,10,316
221,561,232
221,562,159
221,13,121
221,89,115
221,563,114
221,564,107
221,565,99
222,10,299
222,209,294
222,334,293
222,186,230
222,29,220
222,197,166
222,198,157
222,13,123
223,43,167
223,10,93
223,566,50
223,21,41
223,13,35
223,567,23
224,568,612
224,10,556
224,569,292
224,21,288
224,13,254
224,252,178
224,18,171
224,399,158
225,43,11155
225,410,8534
225,10,6800
225,570,4792
225,571,3863
225,13,3692
225,21,3072
225,572,2701
226,12,19365
226,573,18642
226,28,18164
226,173,9941
226,400,8916
226,21,8523
226,313,6830
226,18,4406
227,43,4121
227,10,2473
227,32,1924
227,25,1793
227,574,1481
227,13,1161
227,21,1104
227,18,624
228,10,3285
228,575,3260
228,576,2733
228,13,1385
228,89,1187
228,577,1030
228,18,1027
228,197,931
229,10,785
229,166,757
229,187,625
229,578,514
229,372,448
229,370,373
229,579,305
229,13,304
230,12,2320
230,314,1835
230,1,1387
230,173,912
230,459,394
230,169,270
230,580,191
230,7,181
231,42,2327
231,10,2139
231,581,1947
231,21,1441
231,13,1375
231,140,1249
231,582,814
231,25,757
232,142,993
232,10,687
232,187,584
232,13,295
232,71,292
232,263,261
232,363,186
232,89,122
233,5,10008
233,194,7758
233,10,6448
233,13,3964
233,583,3218
233,21,3146
233,584,2727
233,7,1504
234,10,549
234,585,532
234,25,489
234,412,395
234,13,274
234,270,218
234,27,148
234,586,133
235,587,624
235,5,283
235,12,195
235,588,174
235,10,107
235,13,97
235,418,90
235,7,68
236,1,944
236,10,915
236,589,723
236,590,513
236,591,431
236,13,382
236,592,318
236,593,269
237,594,2500
237,25,1460
237,270,1425
237,595,845
237,10,836
237,61,630
237,13,595
237,50,526
238,441,774
238,152,720
238,33,375
238,36,200
238,533,160
238,596,86
238,597,58
238,536,57
239,236,340
239,10,306
239,257,260
239,140,195
239,143,144
239,13,121
239,45,102
239,598,94
240,524,696
240,10,466
240,599,289
240,13,224
240,526,150
240,600,133
240,459,123
240,601,88
241,602,295
241,25,240
241,10,165
241,13,95
241,603,69
241,363,45
241,604,23
241,7,22
242,10,214
242,263,163
242,13,71
242,605,68
242,606,62
242,378,59
242,607,59
242,608,46
243,79,304
243,10,272
243,609,169
243,297,114
243,84,91
243,610,85
243,324,68
243,611,47
244,10,204
244,378,184
244,612,165
244,43,140
244,1,102
244,263,93
244,13,74
244,324,67
245,236,360
245,45,257
245,10,230
245,13,123
245,613,119
245,21,79
245,614,58
245,7,44
246,25,459
246,17,373
246,10,291
246,13,243
246,615,204
246,616,186
246,7,94
246,189,93
247,617,4244
247,5,3573
247,10,2347
247,1,2160
247,13,1347
247,618,755
247,363,601
247,7,513
248,10,2299
248,17,2236
248,249,1353
248,21,1193
248,13,1042
248,9,705
248,619,545
248,300,490
249,25,1206
249,10,747
249,188,665
249,13,525
249,190,480
249,620,397
249,33,381
249,1,372
250,517,801
250,621,609
250,2,582
250,622,507
250,3,463
250,623,401
250,624,346
250,5,290
251,587,520
251,12,237
251,5,228
251,588,128
251,625,86
251,13,67
251,544,64
251,626,55
252,1,590
252,10,562
252,375,548
252,627,392
252,628,288
252,164,282
252,629,248
252,13,208
253,12,50
253,173,28
253,30,22
254,10,676
254,424,537
254,16,494
254,426,449
254,13,324
254,321,276
254,630,252
254,631,185
255,186,1341
255,166,1202
255,334,1193
255,10,955
255,187,660
255,13,476
255,144,333
255,579,295
256,29,17686
256,310,14739
256,10,12941
256,27,11723
256,13,6951
256,28,5977
256,21,5601
256,18,3613
257,345,17382
257,632,12833
257,5,11458
257,10,8582
257,13,5809
257,347,5470
257,21,4659
257,43,2863
258,186,1566
258,10,1350
258,486,1074
258,334,990
258,18,920
258,13,639
258,633,383
258,113,347
259,634,158
259,64,133
259,1,97
259,635,64
259,151,42
259,636,36
259,25,27
259,10,25
260,263,1030
260,10,958
260,378,834
260,637,542
260,13,357
260,579,281
260,28,223
260,638,133
261,10,198
261,71,196
261,142,168
261,639,125
261,13,94
261,263,88
261,640,58
261,187,52
262,561,289
262,10,260
262,527,224
262,641,121
262,563,111
262,530,110
262,13,102
262,642,99
263,10,87
263,119,59
263,643,49
263,187,47
263,13,37
263,644,36
263,645,27
263,508,22
264,142,311
264,10,268
264,187,213
264,13,157
264,646,101
264,263,74
264,18,68
264,113,53
265,587,3370
265,5,2034
265,599,1552
265,10,1350
265,588,876
265,13,735
265,12,514
265,647,442
266,56,23930
266,19,18048
266,57,13431
266,24,9869
266,2,7603
266,3,6805
266,648,5897
266,25,4729
267,263,553
267,10,511
267,524,477
267,43,331
267,13,224
267,378,176
267,113,122
267,426,107
268,156,220
268,10,196
268,649,136
268,650,100
268,421,86
268,13,69
268,651,58
268,652,53
